champ,url
Aatrox,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/cc/AatroxSquare.png
Ahri,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/1/18/AhriSquare.png
Akali,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/a5/AkaliSquare.png
Alistar,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/3/34/AlistarSquare.png
Amumu,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/2/26/AmumuSquare.png
Anivia,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/0/01/AniviaSquare.png
Annie,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/6f/AnnieSquare.png
Aphelios,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/1/13/ApheliosSquare.png
Ashe,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/4/4a/AsheSquare.png
Aurelion Sol,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/c3/Aurelion_SolSquare.png
Azir,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/f/f7/AzirSquare.png
Bard,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/69/BardSquare.png
Blitzcrank,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/5/5b/BlitzcrankSquare.png
Brand,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/ab/BrandSquare.png
Braum,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/b6/BraumSquare.png
Caitlyn,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/e/e6/CaitlynSquare.png
Camille,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/1/13/CamilleSquare.png
Cassiopeia,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/ca/CassiopeiaSquare.png
Cho'gath,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/ae/Cho%27GathSquare.png
Corki,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/3/3d/CorkiSquare.png
Darius,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/5/54/DariusSquare.png
Diana,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/90/DianaSquare.png
Dr. Mundo,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/b0/DrMundoSquare.png
Draven,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/d/d7/DravenSquare.png
Ekko,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/e/ef/EkkoSquare.png
Elise,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/91/EliseSquare.png
Evelynn,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/5/5b/EvelynnSquare.png
Ezreal,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/c/c3/EzrealSquare.png
Fiddlesticks,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/7c/FiddlesticksSquare.png
Fiora,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/d/d2/FioraSquare.png
Fizz,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/d/db/FizzSquare.png
Galio,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/4/40/GalioSquare.png
Gangplank,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/f/fe/GangplankSquare.png
Garen,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/e/ea/GarenSquare.png
Gnar,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/6b/GnarSquare.png
Gragas,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/67/GragasSquare.png
Graves,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/2/26/GravesSquare.png
Hecarim,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/4/4c/HecarimSquare.png
Heimerdinger,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/5/58/HeimerdingerSquare.png
Illaoi,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/a7/IllaoiSquare.png
Irelia,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/7/72/IreliaSquare.png
Ivern,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/9/9d/IvernSquare.png
Janna,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/3/3f/JannaSquare.png
Jarvan IV,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/6c/Jarvan_IVSquare.png
Jax,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/0/0f/JaxSquare.png
Jayce,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/aa/JayceSquare.png
Jhin,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/8/8b/JhinSquare.png
Jinx,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/e/e2/JinxSquare.png
Kai'Sa,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/4/49/Kai%27SaSquare.png
Kalista,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/aa/KalistaSquare.png
Karma,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/4/4f/KarmaSquare.png
Karthus,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/e/e1/KarthusSquare.png
Kassadin,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/5/57/KassadinSquare.png
Katarina,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/a/ae/KatarinaSquare.png
Kayle,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/b/bd/KayleSquare.png
Kayn,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/3/37/KaynSquare.png
Kennen,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/69/KennenSquare.png
Kha'Zix,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/1/14/Kha%27ZixSquare.png
Kindred,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/6/6e/KindredSquare.png
Kled,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/e/ef/KledSquare.png
Kog'Maw,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/4/45/Kog%27MawSquare.png
LeBlanc,https://gamepedia.cursecdn.com/lolesports_gamepedia_en/f/f1/LeBlancSquare.png
